"id","y"
1,1
2,1
3,2
4,1
5,2
6,2
7,2
8,1
9,1
10,1
11,2
12,1
13,2
14,2
15,1
16,1
17,2
18,1
19,2
20,1
21,2
22,2
23,2
24,1
25,1
26,2
27,1
28,2
29,1
30,2
31,2
32,1
33,2
34,1
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,1
44,2
45,1
46,1
47,2
48,2
49,1
50,1
51,2
52,1
53,2
54,2
55,1
56,2
57,1
58,2
59,2
60,2
61,2
62,2
63,1
64,1
65,1
66,2
67,2
68,2
69,1
70,1
71,2
72,2
73,2
74,2
75,2
76,2
77,1
78,1
79,1
80,1
81,2
82,2
83,2
84,2
85,1
86,2
87,2
88,1
89,2
90,2
91,2
92,1
93,1
94,2
95,1
96,2
97,1
98,1
99,1
100,2
101,2
102,1
103,1
104,2
105,2
106,2
107,1
108,1
109,1
110,2
111,2
112,1
113,1
114,1
115,1
116,2
117,2
118,1
119,2
120,2
121,1
122,2
123,2
124,2
125,1
126,1
127,2
128,1
129,2
130,1
131,1
132,2
133,2
134,1
135,1
136,1
137,2
138,2
139,2
140,1
141,1
142,1
143,1
144,2
145,1
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,2
154,1
155,2
156,1
157,2
158,1
159,2
160,2
161,1
162,1
163,1
164,1
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,2
180,2
181,1
182,2
183,2
184,2
185,2
186,1
187,2
188,2
189,2
190,2
191,2
192,1
193,2
194,1
195,2
196,2
197,2
198,2
199,2
200,2
201,1
202,1
203,2
204,2
205,1
206,2
207,2
208,1
209,2
210,2
211,1
212,2
213,2
214,2
215,1
216,1
217,1
218,2
219,1
220,1
221,1
222,2
223,1
224,2
225,2
226,1
227,2
228,2
229,1
230,2
231,2
232,1
233,1
234,2
235,2
236,1
237,2
238,2
239,1
240,2
241,2
242,1
243,1
244,1
245,1
246,2
247,1
248,2
249,1
250,1
251,2
252,2
253,2
254,2
255,1
256,2
257,1
258,2
259,2
260,1
261,1
262,1
263,2
264,2
265,2
266,2
267,2
268,1
269,2
270,2
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,2
279,2
280,1
281,2
282,2
283,1
284,1
285,2
286,1
287,1
288,1
289,1
290,1
291,2
292,2
293,1
294,2
295,1
296,2
297,1
298,1
299,1
300,2
301,2
302,2
303,2
304,1
305,2
306,1
307,1
308,1
309,1
310,2
311,2
312,2
313,2
314,2
315,1
316,1
317,2
318,2
319,1
320,2
321,2
322,2
323,2
324,1
325,1
326,1
327,2
328,1
329,2
330,2
331,2
332,1
333,2
334,2
335,1
336,2
337,2
338,2
339,1
340,2
341,2
342,2
343,2
344,2
345,1
346,1
347,1
348,1
349,1
350,1
351,2
352,1
353,1
354,2
355,2
356,2
357,1
358,2
359,2
360,2
361,2
362,1
363,1
364,2
365,2
366,2
367,2
368,2
369,1
370,2
371,2
372,2
373,2
374,2
375,2
376,1
377,1
378,2
379,2
380,2
381,1
382,1
383,2
384,2
385,1
386,2
387,1
388,1
389,1
390,1
391,2
392,2
393,2
394,1
395,2
396,1
397,2
398,1
399,2
400,2
401,1
402,2
403,2
404,2
405,1
406,1
407,2
408,2
409,2
410,1
411,2
412,2
413,1
414,1
415,2
416,2
417,1
418,1
419,1
420,2
421,1
422,1
423,1
424,2
425,2
426,2
427,1
428,1
429,1
430,2
431,2
432,1
433,1
434,2
435,1
436,1
437,1
438,1
439,2
440,1
441,2
442,1
443,1
444,2
445,1
446,2
447,2
448,2
449,2
450,1
451,2
452,2
453,2
454,2
455,1
456,2
457,1
458,1
459,1
460,2
461,2
462,1
463,2
464,1
465,1
466,2
467,2
468,2
469,2
470,1
471,1
472,1
473,2
474,1
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,1
484,2
485,2
486,2
487,1
488,1
489,2
490,1
491,1
492,2
493,2
494,2
495,2
496,2
497,1
498,2
499,1
500,2
501,1
502,1
503,2
504,1
505,1
506,2
507,2
508,1
509,1
510,2
511,2
512,2
513,1
514,2
515,2
516,2
517,1
518,1
519,1
520,1
521,2
522,1
523,1
524,1
525,1
526,1
527,2
528,1
529,2
530,1
531,2
532,2
533,1
534,2
535,2
536,1
537,1
538,2
539,2
540,2
541,1
542,1
543,2
544,1
545,2
546,2
547,2
548,1
549,1
550,2
551,1
552,1
553,1
554,2
555,2
556,2
557,2
558,1
559,2
560,2
561,2
562,1
563,2
564,2
565,2
566,2
567,1
568,2
569,2
570,1
571,2
572,2
573,1
574,2
575,1
576,2
577,1
578,2
579,2
580,2
581,2
582,2
583,1
584,1
585,1
586,1
587,1
588,2
589,2
590,2
591,1
592,2
593,2
594,1
595,2
596,1
597,2
598,2
599,2
600,1
601,2
