"id","y"
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,1
280,0
